word,logreg_coef,shap_logreg_mean_abs,shap_logreg_mean,shap_lgbm_mean_abs,shap_lgbm_mean
благотворительный,-1.215609046930659,0.1666037529207647,-0.04599211491500992,0.638985132470477,0.017812929190180897
большой,0.0,0.0,0.0,0.5704709405874552,-0.011570719271655398
ребёнок,-0.6835424621709131,0.20168383457033148,-0.038000953413770716,0.5556300544616891,-0.004414695766326456
средство,-1.4079945310752529,0.35273840242054183,-0.055905174218591765,0.5302408285458358,0.005101232264981755
день,-0.6088034837664061,0.13439254247295054,-0.021945498076147412,0.5222704330020155,-0.008250544970213188
можно,0.910707372578694,0.21331905941266266,-0.009687390303555681,0.45501087311856003,0.008314104372997566
фонд,-1.8083574749274707,0.365389778781445,-0.041914400599416306,0.4541926409146385,0.008426934079905999
жизнь,1.135692808017909,0.23387364918509176,-0.0013203417667580072,0.443564380473034,-0.005860116678480529
когда,-0.6378411245722014,0.16124957984915758,-0.017983983458938757,0.4222617764719519,0.0036955619256510814
цель,0.0,0.0,0.0,0.39032212935339783,-0.016855955596156148
ещё,0.8606915909145751,0.2573913076019616,0.012057864887842006,0.3898903108939607,0.00404976691538167
сделать,1.1003366103762422,0.2789390108791328,0.006405977982010081,0.2524530698894165,-0.004588471237881482
очень,0.0,0.0,0.0,0.24173327574213999,0.010303156385575872
время,0.0,0.0,0.0,0.21547649943941027,-0.007904195343491502
работа,0.0,0.0,0.0,0.1716682348335817,0.001070519493094581
история,0.0,0.0,0.0,0.17157227523854734,0.011547727865285434
всё,0.0,0.0,0.0,0.12430994626321555,-0.005815304471673845
чтобы,0.11967214320368218,0.027569567133987838,-0.0022007483693027336,0.10556151123653751,0.005123510704513567
год,0.0,0.0,0.0,0.08014899520436898,0.0006001489033421235
мочь,0.0,0.0,0.0,0.07959960830032946,0.001420326180540445
ведь,0.0,0.0,0.0,0.07369574419412411,-0.0043302705084709335
друг,0.0,0.0,0.0,0.07277684231510707,-0.0006584862399860965
рука,0.7243788865056444,0.12245254776423752,0.019044795185294165,0.06274810168705215,0.0006349301235419866
такой,0.0,0.0,0.0,0.05804638012020519,-0.0011458319584004004
много,0.617590143249772,0.12219251055403417,0.019613329272130532,0.05620357281115361,-0.0013017285178515828
только,0.0,0.0,0.0,0.05179680122676634,-1.8247159072462515e-05
если,0.0,0.0,0.0,0.05109688930820874,-0.00105571404068822
дом,-0.19712453924464196,0.050362036828527114,-0.015689206085090168,0.041487085231970894,-0.00029868722435658556
именно,0.0,0.0,0.0,0.03892075820464964,-0.0004101239373857342
нужный,0.0,0.0,0.0,0.034428953060171436,-0.0013890767058344989
необходимый,0.0,0.0,0.0,0.030483222650523337,-0.0008252772773538339
помощь,-0.17303526889771656,0.04805520071308706,-0.008324524430386119,0.03021289619728009,0.0006471785479037762
стать,0.0,0.0,0.0,0.0269654664903343,0.0017458617682378332
человек,0.0,0.0,0.0,0.026121331765692122,-0.0003211983932963591
иметь,0.0,0.0,0.0,0.02609632640411695,-3.956921280623808e-05
проект,0.0,0.0,0.0,0.02319980187442207,0.0010645332489491563
первый,0.0,0.0,0.0,0.02191259802803917,-0.0005767232011590729
себя,-0.6614132131279272,0.14798122209131606,0.013799023159183566,0.01965371917392575,-0.00031626109178978543
мир,0.0,0.0,0.0,0.019141157168960858,-0.0003468663261581054
сумма,0.0,0.0,0.0,0.017036065630094816,-0.0018582011981848842
новый,0.0,0.0,0.0,0.015738636066338713,0.0001257496451718995
группа,0.0,0.0,0.0,0.012300120696130491,-0.0004302509095957229
каждый,0.0,0.0,0.0,0.010673187482856587,-0.0004199039037339947
другой,0.0,0.0,0.0,0.010448520492890787,-0.00024029468809268426
оплата,0.0,0.0,0.0,0.009715741205491697,-0.0002311946870477789
рубль,0.0,0.0,0.0,0.008806683444956573,0.0002838374810317915
